Latitude,temperature_2m_min,pressure_msl,wind_direction_10m_dominant,Longitude,precipitation_probability_max,temperature_2m_max,TP
5.25,28.1,1010.325,219,68.875,100,29.0,8.904948386532919
5.25,28.5,1010.3166666666666,216,69.125,100,29.0,8.904948386532919
5.25,28.2,1010.3,220,69.375,96,28.9,8.904948386532919
5.25,25.9,1010.2958333333332,259,69.625,100,28.0,8.904948386532919
5.25,27.5,1010.2875,248,69.875,100,28.4,8.904948386532919
5.25,28.0,1010.2625,244,70.125,100,28.5,8.904948386532919
5.25,28.1,1010.2708333333334,217,70.375,100,29.0,8.904948386532919
5.25,28.5,1010.2583333333332,216,70.625,100,29.1,8.904948386532919
5.25,28.1,1010.225,220,70.875,94,28.9,8.904948386532919
5.25,25.9,1010.1958333333332,258,71.125,100,28.0,8.904948386532919
5.25,27.5,1010.1833333333334,247,71.375,100,28.5,8.904948386532919
5.25,27.9,1010.1875,242,71.625,100,28.6,8.904948386532919
5.25,28.0,1010.1958333333332,216,71.875,100,28.9,8.904948386532919
5.25,28.6,1010.175,214,72.125,100,29.0,8.904948386532919
5.25,28.0,1010.1541666666668,219,72.375,95,28.8,8.904948386532919
5.25,25.8,1010.1416666666668,257,72.625,100,28.1,8.904948386532919
5.25,27.5,1010.15,245,72.875,100,28.5,8.904948386532919
5.25,27.9,1010.15,239,73.125,100,28.6,8.904948386532919
5.25,28.1,1010.1375,215,73.375,100,28.8,8.904948386532919
5.25,28.5,1010.1291666666666,212,73.625,100,28.9,8.904948386532919
5.25,28.0,1010.1208333333334,219,73.875,100,28.6,8.904948386532919
5.25,25.6,1010.0875,257,74.125,100,28.1,8.904948386532919
5.25,27.5,1010.0708333333332,244,74.375,100,28.5,8.904948386532919
5.25,27.9,1010.0541666666668,236,74.625,100,28.8,8.904948386532919
5.25,28.0,1010.0333333333332,214,74.875,100,28.6,8.904948386532919
5.25,28.5,1010.0,211,75.125,100,28.9,8.904948386532919
5.25,28.0,1009.9625,219,75.375,97,28.6,8.904948386532919
5.25,25.2,1009.9541666666668,255,75.625,100,28.1,8.904948386532919
5.25,27.6,1009.9291666666668,242,75.875,100,28.5,8.904948386532919
5.25,27.9,1009.9,234,76.125,100,28.6,8.904948386532919
5.25,28.2,1009.875,214,76.375,100,28.6,8.904948386532919
5.25,28.2,1009.8666666666668,211,76.625,100,28.9,8.904948386532919
5.25,28.0,1009.8541666666666,219,76.875,94,28.6,8.904948386532919
5.25,25.0,1009.8416666666668,255,77.125,100,28.0,8.904948386532919
5.25,27.8,1009.8041666666668,240,77.375,100,28.4,8.904948386532919
5.25,27.9,1009.7791666666668,232,77.625,100,28.6,8.904948386532919
5.25,28.1,1009.7666666666668,213,77.875,100,28.5,8.904948386532919
5.25,28.4,1009.7291666666666,211,78.125,100,28.9,8.904948386532919
5.25,28.0,1009.7,219,78.375,100,28.6,8.904948386532919
5.25,25.0,1009.6791666666668,254,78.625,100,28.1,8.904948386532919
5.25,27.8,1009.625,238,78.875,100,28.5,8.904948386532919
5.25,27.9,1009.575,230,79.125,100,28.5,8.904948386532919
5.25,28.0,1009.5416666666666,213,79.375,100,28.5,8.904948386532919
5.25,28.2,1009.4875,212,79.625,100,28.9,8.904948386532919
