temperature_2m_max,precipitation_probability_max,pressure_msl,longitude,latitude,wind_direction_10m_dominant,date,temperature_2m_min
27.9,58,1009.4458333333332,68.875,5.25,19,2024-11-26,27.4
29.4,75,1009.3791666666666,69.125,5.25,336,2024-11-26,27.0
29.5,10,1009.3666666666668,69.375,5.25,342,2024-11-26,29.0
29.5,18,1009.3208333333332,69.625,5.25,325,2024-11-26,28.5
28.8,18,1009.2958333333332,69.875,5.25,309,2024-11-26,27.8
29.0,23,1009.2041666666668,70.125,5.25,308,2024-11-26,27.5
28.0,50,1009.15,70.375,5.25,11,2024-11-26,27.2
29.3,70,1009.1041666666666,70.625,5.25,332,2024-11-26,27.1
29.3,8,1009.0625,70.875,5.25,339,2024-11-26,28.8
29.5,25,1009.0541666666668,71.125,5.25,324,2024-11-26,28.0
28.9,28,1009.0291666666668,71.375,5.25,310,2024-11-26,27.8
29.0,20,1008.9833333333332,71.625,5.25,307,2024-11-26,27.5
28.0,53,1008.9458333333332,71.875,5.25,6,2024-11-26,27.2
29.4,78,1008.9041666666668,72.125,5.25,331,2024-11-26,27.1
29.2,5,1008.875,72.375,5.25,337,2024-11-26,28.9
29.6,30,1008.8375,72.625,5.25,323,2024-11-26,28.0
29.0,28,1008.8291666666668,72.875,5.25,310,2024-11-26,27.8
28.9,15,1008.7833333333332,73.125,5.25,307,2024-11-26,27.6
28.0,53,1008.7583333333332,73.375,5.25,1,2024-11-26,27.2
29.3,68,1008.7291666666666,73.625,5.25,331,2024-11-26,27.2
29.4,5,1008.7208333333332,73.875,5.25,335,2024-11-26,28.9
29.9,43,1008.6875,74.125,5.25,322,2024-11-26,27.8
28.9,30,1008.6708333333332,74.375,5.25,310,2024-11-26,27.9
29.0,20,1008.65,74.625,5.25,306,2024-11-26,27.5
28.0,50,1008.6291666666666,74.875,5.25,352,2024-11-26,27.2
29.2,60,1008.5875,75.125,5.25,328,2024-11-26,27.2
29.4,3,1008.5875,75.375,5.25,334,2024-11-26,28.8
29.8,53,1008.6041666666666,75.625,5.25,320,2024-11-26,27.9
28.7,45,1008.6,75.875,5.25,309,2024-11-26,27.7
28.8,18,1008.5916666666668,76.125,5.25,305,2024-11-26,27.6
29.2,50,1008.5708333333332,76.375,5.25,353,2024-11-26,27.2
29.2,60,1008.4833333333332,76.625,5.25,328,2024-11-26,27.4
29.4,5,1008.425,76.875,5.25,331,2024-11-26,28.8
29.9,50,1008.3791666666666,77.125,5.25,317,2024-11-26,27.9
28.8,43,1008.2541666666666,77.375,5.25,310,2024-11-26,27.6
28.8,13,1008.175,77.625,5.25,305,2024-11-26,27.9
29.4,48,1008.1041666666666,77.875,5.25,354,2024-11-26,27.2
29.2,60,1007.9666666666668,78.125,5.25,326,2024-11-26,27.6
29.5,5,1007.8666666666668,78.375,5.25,330,2024-11-26,28.8
29.9,58,1007.6916666666666,78.625,5.25,316,2024-11-26,27.9
28.6,48,1007.4875,78.875,5.25,310,2024-11-26,27.5
28.8,15,1007.3083333333334,79.125,5.25,304,2024-11-26,28.0
29.1,50,1007.0,79.375,5.25,350,2024-11-26,27.2
29.2,48,1006.7875,79.625,5.25,323,2024-11-26,27.8
29.5,10,1006.3333333333334,79.875,5.25,328,2024-11-26,28.8
29.9,63,1006.1166666666668,80.125,5.25,314,2024-11-26,27.8
28.6,48,1005.8791666666666,80.375,5.25,310,2024-11-26,27.5
28.7,15,1005.3916666666668,80.625,5.25,302,2024-11-26,28.0
29.1,50,1005.2041666666668,80.875,5.25,349,2024-11-26,27.2
29.4,45,1005.05,81.125,5.25,323,2024-11-26,27.9
29.5,8,1004.8083333333334,81.375,5.25,327,2024-11-26,28.7
29.8,60,1004.6583333333332,81.625,5.25,312,2024-11-26,27.7
28.6,48,1004.425,81.875,5.25,311,2024-11-26,27.4
28.6,13,1004.2958333333332,82.125,5.25,302,2024-11-26,28.0
29.1,50,1004.0916666666668,82.375,5.25,346,2024-11-26,27.1
29.2,33,1003.8166666666666,82.625,5.25,316,2024-11-26,28.0
29.5,10,1003.7125,82.875,5.25,326,2024-11-26,28.6
29.8,55,1003.6541666666668,83.125,5.25,310,2024-11-26,27.6
28.8,50,1003.3791666666666,83.375,5.25,311,2024-11-26,27.4
28.8,13,1003.4083333333332,83.625,5.25,301,2024-11-26,27.8
29.0,58,1003.4666666666668,83.875,5.25,343,2024-11-26,27.1
29.3,30,1003.7708333333334,84.125,5.25,314,2024-11-26,27.8
29.2,10,1003.9416666666666,84.375,5.25,324,2024-11-26,28.5
29.6,55,1004.1833333333334,84.625,5.25,309,2024-11-26,27.7
28.8,58,1004.5208333333334,84.875,5.25,311,2024-11-26,27.3
28.8,15,1004.7625,85.125,5.25,300,2024-11-26,27.8
29.0,55,1004.9375,85.375,5.25,340,2024-11-26,27.1
29.5,45,1005.1,85.625,5.25,314,2024-11-26,28.0
29.4,15,1005.3708333333334,85.875,5.25,322,2024-11-26,28.6
29.3,55,1005.5041666666666,86.125,5.25,307,2024-11-26,27.8
28.8,53,1005.6791666666668,86.375,5.25,310,2024-11-26,27.0
28.9,13,1005.8625,86.625,5.25,299,2024-11-26,28.0
29.0,55,1005.9541666666668,86.875,5.25,337,2024-11-26,27.1
29.5,45,1006.0958333333332,87.125,5.25,309,2024-11-26,27.9
