longitude,latitude,wind_direction_10m_dominant
68.875,5.25,19
69.125,5.25,336
69.375,5.25,342
69.625,5.25,325
69.875,5.25,309
70.125,5.25,308
70.375,5.25,11
70.625,5.25,332
70.875,5.25,339
71.125,5.25,324
71.375,5.25,310
71.625,5.25,307
71.875,5.25,6
72.125,5.25,331
72.375,5.25,337
72.625,5.25,323
72.875,5.25,310
73.125,5.25,307
73.375,5.25,1
73.625,5.25,331
73.875,5.25,335
74.125,5.25,322
74.375,5.25,310
74.625,5.25,306
74.875,5.25,352
75.125,5.25,328
75.375,5.25,334
75.625,5.25,320
75.875,5.25,309
76.125,5.25,305
76.375,5.25,353
76.625,5.25,328
76.875,5.25,331
77.125,5.25,317
77.375,5.25,310
77.625,5.25,305
77.875,5.25,354
78.125,5.25,326
78.375,5.25,330
78.625,5.25,316
78.875,5.25,310
79.125,5.25,304
79.375,5.25,350
79.625,5.25,323
79.875,5.25,328
80.125,5.25,314
80.375,5.25,310
80.625,5.25,302
80.875,5.25,349
81.125,5.25,323
81.375,5.25,327
81.625,5.25,312
81.875,5.25,311
82.125,5.25,302
82.375,5.25,346
82.625,5.25,316
82.875,5.25,326
83.125,5.25,310
83.375,5.25,311
83.625,5.25,301
83.875,5.25,343
84.125,5.25,314
84.375,5.25,324
84.625,5.25,309
84.875,5.25,311
85.125,5.25,300
85.375,5.25,340
85.625,5.25,314
85.875,5.25,322
86.125,5.25,307
86.375,5.25,310
86.625,5.25,299
86.875,5.25,337
87.125,5.25,309
87.375,5.25,321
87.625,5.25,305
87.875,5.25,308
88.125,5.25,298
88.375,5.25,334
88.625,5.25,310
68.875,5.5,321
69.125,5.5,304
69.375,5.5,306
69.625,5.5,297
69.875,5.5,335
70.125,5.5,314
70.375,5.5,322
70.625,5.5,303
70.875,5.5,305
71.125,5.5,295
71.375,5.5,332
71.625,5.5,312
71.875,5.5,322
72.125,5.5,302
72.375,5.5,302
72.625,5.5,293
72.875,5.5,330
73.125,5.5,312
73.375,5.5,321
73.625,5.5,301
73.875,5.5,300
74.125,5.5,292
74.375,5.5,327
74.625,5.5,310
74.875,5.5,321
75.125,5.5,299
75.375,5.5,299
75.625,5.5,291
75.875,5.5,317
76.125,5.5,306
76.375,5.5,318
76.625,5.5,298
76.875,5.5,297
77.125,5.5,291
77.375,5.5,315
77.625,5.5,308
77.875,5.5,315
78.125,5.5,297
78.375,5.5,296
78.625,5.5,290
78.875,5.5,310
79.125,5.5,309
79.375,5.5,315
79.625,5.5,296
79.875,5.5,295
80.125,5.5,289
80.375,5.5,300
80.625,5.5,308
80.875,5.5,313
81.125,5.5,294
81.375,5.5,294
81.625,5.5,288
81.875,5.5,295
82.125,5.5,311
82.375,5.5,311
82.625,5.5,293
82.875,5.5,294
83.125,5.5,288
83.375,5.5,291
83.625,5.5,312
83.875,5.5,309
84.125,5.5,292
84.375,5.5,293
84.625,5.5,288
84.875,5.5,287
85.125,5.5,312
85.375,5.5,308
85.625,5.5,291
85.875,5.5,292
86.125,5.5,287
86.375,5.5,284
86.625,5.5,311
86.875,5.5,303
87.125,5.5,288
87.375,5.5,289
87.625,5.5,287
87.875,5.5,284
88.125,5.5,311
88.375,5.5,301
88.625,5.5,286
68.875,5.75,288
69.125,5.75,286
69.375,5.75,286
69.625,5.75,310
69.875,5.75,300
70.125,5.75,285
70.375,5.75,286
70.625,5.75,286
70.875,5.75,292
71.125,5.75,307
71.375,5.75,299
71.625,5.75,282
71.875,5.75,283
72.125,5.75,285
72.375,5.75,299
72.625,5.75,306
72.875,5.75,298
73.125,5.75,281
73.375,5.75,282
73.625,5.75,285
73.875,5.75,304
74.125,5.75,306
74.375,5.75,297
74.625,5.75,281
74.875,5.75,280
75.125,5.75,285
75.375,5.75,305
75.625,5.75,308
75.875,5.75,296
76.125,5.75,278
76.375,5.75,278
76.625,5.75,283
76.875,5.75,308
77.125,5.75,309
77.375,5.75,298
77.625,5.75,277
77.875,5.75,277
78.125,5.75,283
78.375,5.75,312
78.625,5.75,309
78.875,5.75,302
79.125,5.75,276
79.375,5.75,276
79.625,5.75,283
79.875,5.75,314
80.125,5.75,310
80.375,5.75,309
80.625,5.75,275
80.875,5.75,272
81.125,5.75,282
81.375,5.75,316
81.625,5.75,310
81.875,5.75,311
82.125,5.75,276
82.375,5.75,271
82.625,5.75,281
82.875,5.75,320
83.125,5.75,311
83.375,5.75,312
83.625,5.75,277
83.875,5.75,270
84.125,5.75,280
84.375,5.75,322
84.625,5.75,310
84.875,5.75,311
85.125,5.75,276
85.375,5.75,268
85.625,5.75,279
85.875,5.75,323
86.125,5.75,309
86.375,5.75,310
86.625,5.75,277
86.875,5.75,268
87.125,5.75,279
87.375,5.75,326
87.625,5.75,308
87.875,5.75,312
88.125,5.75,277
88.375,5.75,267
88.625,5.75,278
68.875,6.0,324
69.125,6.0,306
