temperature_2m_max,precipitation_probability_max,pressure_msl,longitude,latitude,wind_direction_10m_dominant,temperature_2m_min
25.6,45,1008.9625,68.875,5.25,244,24.1
27.7,48,1008.9125,69.125,5.25,235,24.4
30.3,13,1008.8666666666668,69.375,5.25,227,24.7
25.2,100,1008.8458333333332,69.625,5.25,332,23.4
25.6,100,1008.8083333333334,69.875,5.25,287,24.2
25.7,85,1008.7416666666668,70.125,5.25,278,24.2
27.0,45,1008.7125,70.375,5.25,265,24.8
29.0,48,1008.65,70.625,5.25,263,24.5
31.9,13,1008.575,70.875,5.25,254,24.4
26.9,100,1008.5291666666668,71.125,5.25,334,24.4
26.3,98,1008.4833333333332,71.375,5.25,286,24.6
26.9,65,1008.4083333333332,71.625,5.25,277,24.9
29.0,28,1008.3791666666666,71.875,5.25,270,25.2
29.7,33,1008.3291666666668,72.125,5.25,248,24.7
33.4,15,1008.3,72.375,5.25,250,23.8
26.6,100,1008.2791666666668,72.625,5.25,332,24.3
26.5,95,1008.2666666666668,72.875,5.25,285,24.5
26.9,45,1008.2375,73.125,5.25,277,25.0
29.1,23,1008.2083333333334,73.375,5.25,271,25.2
29.8,40,1008.125,73.625,5.25,232,24.7
32.8,15,1008.0708333333332,73.875,5.25,26,24.5
27.2,100,1008.0166666666668,74.125,5.25,350,25.3
27.1,98,1007.9416666666666,74.375,5.25,283,24.8
27.5,40,1007.9166666666666,74.625,5.25,278,25.5
29.6,18,1007.8666666666668,74.875,5.25,271,25.8
30.1,48,1007.8125,75.125,5.25,211,25.4
30.6,13,1007.7708333333334,75.375,5.25,54,25.5
27.8,100,1007.75,75.625,5.25,13,26.9
27.5,98,1007.6458333333334,75.875,5.25,290,26.5
27.4,40,1007.6041666666666,76.125,5.25,279,26.5
29.0,18,1007.55,76.375,5.25,270,26.9
28.7,48,1007.4375,76.625,5.25,221,26.1
28.5,13,1007.3916666666668,76.875,5.25,82,28.0
27.9,100,1007.3458333333332,77.125,5.25,25,27.2
27.5,80,1007.2583333333332,77.375,5.25,284,26.8
27.5,23,1007.2083333333334,77.625,5.25,280,26.8
28.9,30,1007.125,77.875,5.25,265,27.3
28.5,38,1007.025,78.125,5.25,235,26.3
28.5,8,1006.9583333333334,78.375,5.25,153,28.0
28.0,100,1006.8041666666668,78.625,5.25,34,27.5
27.5,98,1006.6541666666668,78.875,5.25,277,26.9
27.7,70,1006.5583333333334,79.125,5.25,279,27.0
28.8,35,1006.375,79.375,5.25,263,27.5
28.6,35,1006.2541666666666,79.625,5.25,237,26.5
28.6,38,1005.9625,79.875,5.25,175,28.1
28.2,100,1005.8083333333334,80.125,5.25,53,27.5
27.9,93,1005.6375,80.375,5.25,263,27.3
27.8,65,1005.1583333333332,80.625,5.25,276,27.0
28.8,40,1004.9333333333334,80.875,5.25,261,27.5
28.7,35,1004.75,81.125,5.25,230,27.0
28.5,40,1004.3791666666666,81.375,5.25,187,28.0
28.4,100,1004.2375,81.625,5.25,67,27.5
27.9,85,1003.9958333333334,81.875,5.25,251,27.2
27.8,78,1003.9083333333332,82.125,5.25,273,27.1
