date,latitude,longitude,temperature_2m_max,temperature_2m_min,precipitation_probability_max,wind_direction_10m_dominant
2024-11-26,5.25,68.875,27.9,27.4,58,19
2024-11-27,5.25,68.875,29.4,27.0,75,336
2024-11-28,5.25,68.875,29.5,29.0,10,342
2024-11-29,5.25,68.875,29.5,28.5,18,325
2024-11-30,5.25,68.875,28.8,27.8,18,309
2024-12-01,5.25,68.875,29.0,27.5,23,308
2024-11-26,5.25,69.125,28.0,27.2,50,11
2024-11-27,5.25,69.125,29.3,27.1,70,332
2024-11-28,5.25,69.125,29.3,28.8,8,339
2024-11-29,5.25,69.125,29.5,28.0,25,324
2024-11-30,5.25,69.125,28.9,27.8,28,310
2024-12-01,5.25,69.125,29.0,27.5,20,307
2024-11-26,5.25,69.375,28.0,27.2,53,6
2024-11-27,5.25,69.375,29.4,27.1,78,331
2024-11-28,5.25,69.375,29.2,28.9,5,337
2024-11-29,5.25,69.375,29.6,28.0,30,323
2024-11-30,5.25,69.375,29.0,27.8,28,310
2024-12-01,5.25,69.375,28.9,27.6,15,307
2024-11-26,5.25,69.625,28.0,27.2,53,1
2024-11-27,5.25,69.625,29.3,27.2,68,331
2024-11-28,5.25,69.625,29.4,28.9,5,335
2024-11-29,5.25,69.625,29.9,27.8,43,322
2024-11-30,5.25,69.625,28.9,27.9,30,310
2024-12-01,5.25,69.625,29.0,27.5,20,306
2024-11-26,5.25,69.875,28.0,27.2,50,352
2024-11-27,5.25,69.875,29.2,27.2,60,328
2024-11-28,5.25,69.875,29.4,28.8,3,334
2024-11-29,5.25,69.875,29.8,27.9,53,320
2024-11-30,5.25,69.875,28.7,27.7,45,309
2024-12-01,5.25,69.875,28.8,27.6,18,305
2024-11-26,5.25,70.125,29.2,27.2,50,353
2024-11-27,5.25,70.125,29.2,27.4,60,328
2024-11-28,5.25,70.125,29.4,28.8,5,331
2024-11-29,5.25,70.125,29.9,27.9,50,317
2024-11-30,5.25,70.125,28.8,27.6,43,310
2024-12-01,5.25,70.125,28.8,27.9,13,305
2024-11-26,5.25,70.375,29.4,27.2,48,354
2024-11-27,5.25,70.375,29.2,27.6,60,326
2024-11-28,5.25,70.375,29.5,28.8,5,330
2024-11-29,5.25,70.375,29.9,27.9,58,316
2024-11-30,5.25,70.375,28.6,27.5,48,310
2024-12-01,5.25,70.375,28.8,28.0,15,304
2024-11-26,5.25,70.625,29.1,27.2,50,350
2024-11-27,5.25,70.625,29.2,27.8,48,323
2024-11-28,5.25,70.625,29.5,28.8,10,328
2024-11-29,5.25,70.625,29.9,27.8,63,314
2024-11-30,5.25,70.625,28.6,27.5,48,310
2024-12-01,5.25,70.625,28.7,28.0,15,302
2024-11-26,5.25,70.875,29.1,27.2,50,349
2024-11-27,5.25,70.875,29.4,27.9,45,323
2024-11-28,5.25,70.875,29.5,28.7,8,327
2024-11-29,5.25,70.875,29.8,27.7,60,312
2024-11-30,5.25,70.875,28.6,27.4,48,311
2024-12-01,5.25,70.875,28.6,28.0,13,302
